"Supplementary data: Test set of cosmetic compounds assess by the Scientific Committee on Consumer Safety and their respective results in the Ames test, the in silico predictions for mutagenicity and in vivo genotoxicity",,,,,,,,,,,,,,,,,,,
"NEG = negative result, POS = positive retult, EQ = equivocal result, N/A = not applicable, INCI = International Nomenclature of Cosmetic Ingredients",,,,,,,,,,,,,,,,,,,
Cas No,INCI,Function,Result Ames test,TEST Predicted Result,,Id,Prediction CAESAR,,Id,Prediction SARPY,,Id,Prediction TOXTREE,DEREK in vitro mutagen,majority prediction,in vivo result,,,
1603-02-7,"2,5,6-Triamino-4-pyrimidinol sulfate",oxidative hair dye,NEG,NEG,,1603-02-7,NEG,NEG,NEG,NEG,,1603-02-7,POS,POS,NEG,NEG,,,
110102-85-7,5-Amino-4-chloro-2-methylphenol hydrochloride,oxidative hair dye,NEG,NEG,,110102-85-7,NEG,NEG,NEG,NEG,,110102-85-7,POS,NEG,NEG,N/A,,,
69-72-7,Salicylic Acid,other,NEG,NEG,,69-72-7,NEG,NEG,NEG,NEG,,69-72-7,NEG,NEG,NEG,N/A,,,
81892-72-0,"1,3-bis-(2,4-Diaminophenoxy)-propane",oxidative and semi-permanent hair dye,NEG,POS,,81892-72-0,POS,,81892-72-0,POS,,81892-72-0,POS,POS,POS,NEG,,,
83-56-7,"1,5-Naphtalenediol / CI 76625",oxidative hair dye,NEG,POS,POS,POS,POS,,83-56-7,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
155601-30-2,"1-Hydroxyethyl-4,5-diamino pyrazole sulphate",oxidative hair dye,NEG,POS,POS,POS,POS,,155601-30-2,POS,POS,POS,POS,POS,POS,NEG,,,
90-15-3,1-Naphtol / CI 76605,oxidative hair dye,NEG,POS,POS,POS,POS,,90-15-3,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
27311-52-0,"2,2'-Methylenebis-4-aminophenol HCl",oxidative and semi-permanent hair dye,NEG,POS,POS,POS,POS,,27311-52-0,NEG,,27311-52-0,POS,NEG,POS,NEG,,,
1004-74-6,"2,4,5,6-Tetraaminopyrimidine",oxidative and semi-permanent hair dye,NEG,NEG,,1004-74-6,POS,,1004-74-6,NEG,,1004-74-6,POS,POS,POS,NEG,,,
84540-47-6,"2,6-Dihydroxy-3,4-dimethylpyridine",oxidative hair dye,NEG,NEG,,84540-47-6,NEG,,84540-47-6,POS,,84540-47-6,POS,NEG,NEG,NEG,,,
56216-28-5,"2,6-Dimethoxy-3,5-pyridinediamine HCl",oxidative hair dye,NEG,POS,POS,POS,POS,,56216-28-5,NEG,,56216-28-5,POS,POS,POS,NEG,,,
582-17-2,"2,-7-Naphtalenediol / CI 76645",oxidative hair dye,NEG,NEG,,582-17-2,POS,,582-17-2,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
16867-03-1,2-Amino-3-hydroxypyridine,oxidative and semi-permanent hair dye,NEG,POS,,16867-03-1,NEG,,16867-03-1,NEG,,16867-03-1,POS,NEG,NEG,NEG,,,
83763-47-7,2-Amino-4-hydroxyethylaminoanisole sulfate,oxidative hair dye,NEG,NEG,,83763-47-7,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
6358-09-4,2-Amino-6-chloro-4-nitrophenol,oxidative and semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
7469-77-4,2-Methyl-1-naphthol,oxidative hair dye,NEG,NEG,,7469-77-4,NEG,NEG,NEG,NEG,,7469-77-4,NEG,NEG,NEG,NEG,,,
55302-96-0,2-Methyl-5-Hydroxyethylaminophenol,oxidative hair dye,NEG,NEG,,55302-96-0,NEG,,55302-96-0,POS,,55302-96-0,NEG,NEG,NEG,N/A,,,
608-25-3,2-Methylresorcinol,oxidative and semi-permanent hair dye,NEG,NEG,,608-25-3,POS,,608-25-3,NEG,,608-25-3,NEG,NEG,NEG,NEG,,,
80062-31-3,2-Nitro-5-glyceryl methylaniline,semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
61693-43-4,"3-Amino-2,4-dichlorophenol HCl",oxidative and semi-permanent hair dye,NEG,NEG,,61693-43-4,NEG,,61693-43-4,NEG,,61693-43-4,NEG,NEG,NEG,NEG,,,
59820-63-2,3-Methylamino-4-nitrophenoxyethanol,semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,N/A,,,
65235-31-6,3-Nitro-p-hydroxyethylaminophenol,oxidative and semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
2835-95-2,4-Amino-2-hydroxytoluene,oxidative hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,,,
2835-99-6,4-Amino-m-cresol,oxidative hair dye,NEG,NEG,,2835-99-6,POS,,2835-99-6,NEG,,2835-99-6,POS,NEG,NEG,NEG,,,
95-88-5,4-Chlororesorcinol / CI 76510,oxidative hair dye,NEG,NEG,,95-88-5,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG,,,
92952-81-3,4-Hydroxypropylamino-3-nitrophenol,oxidative and semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,Y,POS,NEG,,,
36861-47-9,4-Methylbenzylidene Camphor,UV-filter,NEG,NEG,,36861-47-9,NEG,,36861-47-9,NEG,,36861-47-9,POS,NEG,NEG,N/A,,,
80419-48-3,5-amino-6-chloro-o-cresol,oxidative hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,Y,POS,NEG,,,
4368-56-3,Acid Blue 62 / CI 62045,semi-permanent hair dye,NEG,POS,POS,POS,POS,POS,POS,POS,POS,POS,POS,NEG,POS,NEG,,,
3844-45-9,Acid Blue 9 / CI 42090,semi-permanent hair dye,NEG,NEG,,3844-45-9,POS,POS,POS,POS,,3844-45-9,NEG,NEG,NEG,NEG,,,
