CASRN,SMILES,TA98-S9,TA98+S9,TA100-S9,TA100+S9,Overall
84-67-3,CC1=CC(N)=CC=C1C1=CC=C(N)C=C1C,0,0,0,1,1
88-50-6,NC1=CC(Cl)=C(C=C1Cl)S(O)(=O)=O,0,0,0,0,0
92-65-9,CCN(CCO)C1=CC=C(N)C=C1,0,0,0,0,0
98-36-2,NC1=CC(=CC=C1Cl)S(O)(=O)=O,0,0,0,0,0
98-44-2,NC1=CC(=CC=C1S(O)(=O)=O)S(O)(=O)=O,0,0,0,0,0
117-62-4,NC1=C(C2=CC=CC(=C2C=C1)S(O)(=O)=O)S(O)(=O)=O,0,0,0,0,0
137-51-9,NC1=CC=C(C=C1S(O)(=O)=O)S(O)(=O)=O,0,0,0,0,0
615-47-4,NC1=CC=C(N)C(N)=C1,1,1,0,0,1
2373-98-0,NC1=CC=C(C=C1O)C1=CC=C(N)C(O)=C1,0,0,0,0,0
2835-99-6,CC1=CC(O)=CC=C1N,0,0,0,0,0
3282-99-3,NC1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(N)C=C1,0,0,0,1,1
4506-66-5,NC1=CC(N)=C(N)C=C1N,0,0,0,0,0
5272-86-6,CC1=C(N)C(C)=NN1,0,0,0,0,0
6442-08-6,CC1=CC(=CC=C1N)C1(CCCCC1)C1=CC=C(N)C(C)=C1,0,0,0,0,0
15791-87-4,NC1=CC(N)=C(O)C=C1O,0,1,1,1,1
2051-79-8,CCN(CC)C1=CC=C(N)C(C)=C1,0,0,0,0,0
5856-00-8,CCN(C(=O)C1=CC=CC=C1)C1=CC=C(N)C(C)=C1,0,0,0,0,0
23372-49-6,COC1=C(NC(=O)C2=C(O)C(N)=C3C=CC=CC3=C2)C=CC=C1,0,0,0,0,0
25646-77-9,CCN(CCO)C1=CC=C(N)C(C)=C1,0,0,0,0,0
27746-11-8,CN(C)C1=C(C)C=C(N)C=C1,0,0,0,0,0
41772-23-0,NC1=C(O)C2=CC=CC=C2C=C1,0,0,0,0,0
52943-88-1,CC1=NN(C(N)=C1N)C1=CC=CC=C1,0,0,0,0,0
105297-10-7,NC1=CC=C(C=C1)N1CCS(=O)(=O)CC1,0,0,0,0,0
