predicted,predicted labal,true label,fold,iteration,index,model,encoding,smiles
0.009587294296956567,1,0,0,0,0,MISVM_linear,MACCS,Nc1c(O)cccc1[N+](=O)[O-]
-0.3529608906660535,0,0,0,0,1,MISVM_linear,MACCS,Nc1nc(=O)n(C2CC(O)C(CO)O2)cc1CCCl
-0.11077409850940152,0,0,0,0,2,MISVM_linear,MACCS,Nc1nc2c(s1)CCC1NCCCC21
-0.06063746277683516,0,0,0,0,3,MISVM_linear,MACCS,Nc1ccc(Cl)c(Cl)c1Cl
-0.09158290628864792,0,0,0,0,4,MISVM_linear,MACCS,Nc1ccc(C=O)cc1
-0.30073267884815225,0,0,0,0,5,MISVM_linear,MACCS,Nc1cccc(S(=O)(=O)O)c1
-0.13114101122886115,0,0,0,0,6,MISVM_linear,MACCS,Nc1nc(O)c2[nH]nnc2n1
-0.29801985950430904,0,0,0,0,7,MISVM_linear,MACCS,Nc1cc(Cl)cc(S(=O)(=O)O)c1O
-0.10074816748342828,0,0,0,0,8,MISVM_linear,MACCS,Nc1cccc(C(F)(F)F)c1
-0.06063746277683516,0,0,0,0,9,MISVM_linear,MACCS,Nc1cc(Cl)ccc1Cl
-0.002788710692279428,0,0,0,0,10,MISVM_linear,MACCS,Nc1cccc2ccc3ccccc3c12
-0.10036268728280036,0,0,0,0,11,MISVM_linear,MACCS,Nc1ccc(Cl)c(C(F)(F)F)c1
-0.3529608906660535,0,0,0,0,12,MISVM_linear,MACCS,Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1CCCl
-0.019820629829719244,0,1,0,0,13,MISVM_linear,MACCS,Nc1cccc2cc3c(nc12)CCCC3
-0.004709894607160342,0,1,0,0,14,MISVM_linear,MACCS,Nc1ccc(-c2ccc(N)cc2)cc1
0.0038988923771720724,1,1,0,0,15,MISVM_linear,MACCS,Nc1cccc2cccc(N)c12
-0.013147333454279958,0,1,0,0,16,MISVM_linear,MACCS,Nc1ccc2nc3cc(N)ccc3nc2c1
-0.013135864268575992,0,1,0,0,17,MISVM_linear,MACCS,Nc1ccc(-c2ccc(N)c(N)c2)cc1N
-0.017518018006412756,0,1,0,0,18,MISVM_linear,MACCS,Nc1nc(-c2cc([N+](=O)[O-])cs2)cs1
-0.3150099691703361,0,1,0,0,19,MISVM_linear,MACCS,Nc1ccccc1S(=O)(=O)O
-0.002341572161784017,0,1,0,0,20,MISVM_linear,MACCS,Nc1cccc2c1ccc1ccccc12
-0.0430661035248332,0,1,0,0,21,MISVM_linear,MACCS,Nc1ccc2c(n1)[nH]c1ccccc12
-0.002341572161784017,0,1,0,0,22,MISVM_linear,MACCS,Nc1cccc2cc3ccccc3cc12
-0.002341572161784017,0,1,0,0,23,MISVM_linear,MACCS,Nc1cccc2ccccc12
-0.06161505730171908,0,1,0,0,24,MISVM_linear,MACCS,Nc1ccc(F)cc1F
-0.0484435996420846,0,1,0,0,25,MISVM_linear,MACCS,Nc1cc([N+](=O)[O-])ccc1CO
-0.18474101377058616,0,1,0,0,26,MISVM_linear,MACCS,Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12
-0.013147333454279958,0,1,0,0,27,MISVM_linear,MACCS,Nc1cccc2nc3c(N)cccc3nc12
0.01776573464107345,1,1,0,0,28,MISVM_linear,MACCS,Nc1ccc(Cl)cc1[N+](=O)[O-]
-0.08220552397152867,0,1,0,0,29,MISVM_linear,MACCS,Nc1cccc(O)c1
-0.026020370040602037,0,1,0,0,30,MISVM_linear,MACCS,Nc1ccc(Oc2ccccc2)cc1
-0.2174156820858505,0,1,0,0,31,MISVM_linear,MACCS,Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1
-0.18637825303770122,0,1,0,0,32,MISVM_linear,MACCS,Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12
-0.0410833637638395,0,1,0,0,33,MISVM_linear,MACCS,Nc1ccc(N)cc1
0.020736594265668706,1,1,0,0,34,MISVM_linear,MACCS,Nc1ccc(/N=N/c2ccccc2)cc1
0.020736594265668706,1,1,0,0,35,MISVM_linear,MACCS,Nc1ccc(/N=N/c2ccc(N)cc2)cc1
-0.004709894607160342,0,1,0,0,36,MISVM_linear,MACCS,Nc1ccc(-c2ccc(N)cc2)cc1
-0.28997433911997433,0,0,1,0,0,MISVM_linear,MACCS,N=c1ccn2c(n1)O[C@@H]1[C@@H]2O[C@H](CO)[C@H]1O
-0.15833987845492212,0,0,1,0,1,MISVM_linear,MACCS,Nc1ccccc1C(=O)CC(N)C(=O)O
-0.3066358130461629,0,0,1,0,2,MISVM_linear,MACCS,Nc1nc(O)c2nc(O)n(C3CC(O)C(CO)O3)c2n1
-0.1648124540358738,0,0,1,0,3,MISVM_linear,MACCS,Nc1ccc(S(=O)(=O)O)c2ccccc12
-0.1057335132683438,0,0,1,0,4,MISVM_linear,MACCS,Nc1ccc(/C=C/C(=O)O)cc1
-0.32628933844671987,0,0,1,0,5,MISVM_linear,MACCS,Nc1ccn(C2C=C(CO)C(O)C2O)c(=O)n1
-0.1038087926807983,0,0,1,0,6,MISVM_linear,MACCS,Nc1cc(C(F)(F)F)ccc1Cl
-0.06531974662803879,0,0,1,0,7,MISVM_linear,MACCS,Nc1nc(-c2cccnc2)cs1
-0.10222461023335414,0,0,1,0,8,MISVM_linear,MACCS,Nc1n[nH]c(N)n1
-0.06743165733982613,0,0,1,0,9,MISVM_linear,MACCS,Nc1cc(Cl)c(Cl)c(Cl)c1
0.009674313262726511,1,0,1,0,10,MISVM_linear,MACCS,Nc1c(O)ccc2ccccc12
0.00810721811962399,1,0,1,0,11,MISVM_linear,MACCS,Nc1c2ccccc2nc2ccccc12
-0.10150849458278,0,0,1,0,12,MISVM_linear,MACCS,Nc1cc(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])c(N=Nc3ccccc3)c(O)c12
0.02171595415997453,1,1,1,0,13,MISVM_linear,MACCS,Nc1ccc([N+](=O)[O-])c(N)c1
-0.053833440325490256,0,1,1,0,14,MISVM_linear,MACCS,Nc1nc2cc(O)ccc2[nH]1
-0.14462864070483974,0,1,1,0,15,MISVM_linear,MACCS,Nc1cc(N)c(N=Nc2ccc(S(=O)(=O)O)cc2)cc1N=Nc1ccc(-c2ccc(N=Nc3ccc(O)c(C(=O)O)c3)cc2)cc1
-0.03835657182039573,0,1,1,0,16,MISVM_linear,MACCS,Nc1cccc(N)c1
-0.0777518646387411,0,1,1,0,17,MISVM_linear,MACCS,Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2C1OC(CO)C(O)C1O
