predicted,predicted labal,true label,fold,iteration,index,model,encoding,smiles
-1.0058449670034124,0,0,0,0,0,sbMIL-quadratic,MACCS,Nc1ccn(C2C=C(CO)C(O)C2O)c(=O)n1
-0.9149310138985145,0,0,0,0,1,sbMIL-quadratic,MACCS,Nc1ccc2c(=O)[nH]sc2c1
0.13853446371634826,1,0,0,0,2,sbMIL-quadratic,MACCS,Nc1nc2ncnc-2c[nH]1
-1.5409038103899024,0,0,0,0,3,sbMIL-quadratic,MACCS,Nc1cc(S(=O)(=O)O)ccc1O
-0.32686626942158414,0,0,0,0,4,sbMIL-quadratic,MACCS,Nc1ccccc1Cl
-0.9542270236302722,0,0,0,0,5,sbMIL-quadratic,MACCS,Nc1ccccc1C(=O)OC1CCCCC1
-1.166112681891205,0,0,0,0,6,sbMIL-quadratic,MACCS,Nc1ccc(S(=O)(=O)[O-])cc1
-0.6127843779253047,0,0,0,0,7,sbMIL-quadratic,MACCS,Nc1nc(O)nc2c1ncn2C1OC(CO)C(O)C1O
-0.592942105701619,0,0,0,0,8,sbMIL-quadratic,MACCS,Nc1c2ccccc2nc2ccccc12
-0.7530188212895338,0,0,0,0,9,sbMIL-quadratic,MACCS,Nc1nc[nH]n1
-0.7958673429209089,0,0,0,0,10,sbMIL-quadratic,MACCS,Nc1nc2ccccc2[nH]1
-0.2696205099775808,0,0,0,0,11,sbMIL-quadratic,MACCS,Nc1cc(Cl)cc(Cl)c1O
1.2153847195610883,1,0,0,0,12,sbMIL-quadratic,MACCS,Nc1ccc2cc(S(=O)(=O)[O-])cc(O)c2c1N=Nc1ccc([N+](=O)[O-])cc1S(=O)(=O)[O-]
3.9504745452946515,1,1,0,0,13,sbMIL-quadratic,MACCS,Nc1ncnc2nc(-c3ccc([N+](=O)[O-])cc3)[nH]c12
1.3086530040634305,1,1,0,0,14,sbMIL-quadratic,MACCS,Nc1ccc(N=Nc2cccc(N=Nc3ccc(N)cc3N)c2)c(N)c1
-0.839867853512542,0,1,0,0,15,sbMIL-quadratic,MACCS,Nc1nc(NO)c2ncn(C3OC(CO)C(O)C3O)c2n1
0.9340245545426743,1,1,0,0,16,sbMIL-quadratic,MACCS,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl
1.1715965676494196,1,1,0,0,17,sbMIL-quadratic,MACCS,Nc1nc(-c2cc([N+](=O)[O-])cs2)cs1
-0.16998194603843264,0,1,0,0,18,sbMIL-quadratic,MACCS,Nc1ccc(-c2ccc(Cl)cc2)cc1
0.9940161070353927,1,1,0,0,19,sbMIL-quadratic,MACCS,Nc1cc([N+](=O)[O-])ccc1O
1.9279703521293805,1,1,0,0,20,sbMIL-quadratic,MACCS,Nc1c(N=Nc2ccc(-c3ccc(N=Nc4ccc(O)cc4)cc3)cc2)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccccc3)c(O)c12
-0.843919940077651,0,1,0,0,21,sbMIL-quadratic,MACCS,Nc1ccc2ccc3cccc4ccc1c2c34
-0.13120075498845862,0,1,0,0,22,sbMIL-quadratic,MACCS,Nc1ccc2sncc2c1
-0.07329287525397732,0,1,0,0,23,sbMIL-quadratic,MACCS,Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1
1.7117549945564163,1,1,0,0,24,sbMIL-quadratic,MACCS,Nc1cc([N+](=O)[O-])cc(Cl)c1O
-0.7431641837535028,0,1,0,0,25,sbMIL-quadratic,MACCS,Nc1nccs1
1.4524524608868714,1,1,0,0,26,sbMIL-quadratic,MACCS,Nc1ccc2nc3ccccn3c2n1
-1.0422829615666156,0,1,0,0,27,sbMIL-quadratic,MACCS,Nc1ccc(N)c2c1C(=O)c1c(N)ccc(N)c1C2=O
-0.843919940077651,0,1,0,0,28,sbMIL-quadratic,MACCS,Nc1ccc2ccc3c4ccccc4cc4ccc1c2c43
-1.391603531330388,0,1,0,0,29,sbMIL-quadratic,MACCS,Nc1c(Oc2ccccc2)cc(O)c2c1C(=O)c1ccccc1C2=O
-1.2273182882357676,0,1,0,0,30,sbMIL-quadratic,MACCS,Nc1nc2cc(O)ccc2[nH]1
0.09573968048871573,1,1,0,0,31,sbMIL-quadratic,MACCS,Nc1ccc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(N)c6c5O)cc4)cc3)c(O)c2c1
0.34211098067452095,1,1,0,0,32,sbMIL-quadratic,MACCS,Nc1ccc2c(n1)[nH]c1ccccc12
-1.1032649992471755,0,1,0,0,33,sbMIL-quadratic,MACCS,Nc1cccc2ccccc12
1.3483539282765133,1,1,0,0,34,sbMIL-quadratic,MACCS,Nc1snc2c(Cl)cc(Cl)cc12
-0.7757083150157893,0,1,0,0,35,sbMIL-quadratic,MACCS,Nc1cnc2ccc3ccccc3c2c1
1.170251901656405,1,1,0,0,36,sbMIL-quadratic,MACCS,Nc1cnc2c(c1)nc1ccccn12
-0.9123630864582748,0,0,1,0,0,sbMIL-quadratic,MACCS,Nc1nc(N)nc(NC2CC2)n1
-1.028748810124625,0,0,1,0,1,sbMIL-quadratic,MACCS,Nc1ccc(O)c(C(=O)O)c1
0.8046438960073028,1,0,1,0,2,sbMIL-quadratic,MACCS,Nc1cnn(-c2ccccc2)c(=O)c1Cl
-0.8369821115427574,0,0,1,0,3,sbMIL-quadratic,MACCS,Nc1ccc(O)cc1
-0.18977368689976115,0,0,1,0,4,sbMIL-quadratic,MACCS,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
-0.8045874795436394,0,0,1,0,5,sbMIL-quadratic,MACCS,Nc1ccc(S(=O)(=O)[O-])c2ccccc12
1.0660837993469134,1,0,1,0,6,sbMIL-quadratic,MACCS,Nc1c(C(=O)N/N=C/c2ccccc2)[nH]c2ccccc12
-0.6716270692152566,0,0,1,0,7,sbMIL-quadratic,MACCS,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
-0.15408449179875228,0,0,1,0,8,sbMIL-quadratic,MACCS,Nc1ccccc1C(=O)O
-0.73679920691899,0,0,1,0,9,sbMIL-quadratic,MACCS,Nc1cc(-c2ccncc2)cnc1O
-1.2407502733091702,0,0,1,0,10,sbMIL-quadratic,MACCS,Nc1c(O)ccc2ccccc12
-1.2456446768835423,0,0,1,0,11,sbMIL-quadratic,MACCS,Nc1cc(C(=O)O)c(O)c(S(=O)(=O)O)c1
-0.6950828093733731,0,0,1,0,12,sbMIL-quadratic,MACCS,Nc1ccc(C(=O)O)cc1
-0.15757709197573155,0,1,1,0,13,sbMIL-quadratic,MACCS,Nc1cccc2cccc(N)c12
-0.8638382174709296,0,1,1,0,14,sbMIL-quadratic,MACCS,Nc1cc2c3c(cccc3c1)-c1ccccc1-2
3.9820669557191724,1,1,1,0,15,sbMIL-quadratic,MACCS,Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2nc[nH]c12
1.1047975066846671,1,1,1,0,16,sbMIL-quadratic,MACCS,Nc1ccc(N=Nc2ccccc2)c(N)c1
-0.46928115029427386,0,1,1,0,17,sbMIL-quadratic,MACCS,Nc1nc2c(s1)CCc1ncccc1-2
0.05922695647566911,1,1,1,0,18,sbMIL-quadratic,MACCS,Nc1ccc(N=Nc2ccccc2)cc1
3.081034422760546,1,1,1,0,19,sbMIL-quadratic,MACCS,Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
-0.6781264514717488,0,1,1,0,20,sbMIL-quadratic,MACCS,Nc1ccc2c(c1)Cc1cc(N)ccc1-2
2.494302624340085,1,1,1,0,21,sbMIL-quadratic,MACCS,Nc1cc2c(cc1[N+](=O)[O-])[nH]c1ccccc12
1.641590731695656,1,1,1,0,22,sbMIL-quadratic,MACCS,Nc1ccc(Cc2ccc(N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1
2.404025470938684,1,1,1,0,23,sbMIL-quadratic,MACCS,Nc1ccc(-c2ccc([N+](=O)[O-])cc2N)c([N+](=O)[O-])c1
-0.4295759487820856,0,1,1,0,24,sbMIL-quadratic,MACCS,Nc1ccc2nc3ccc(N)cc3[s+]c2c1
-0.8638382174709296,0,1,1,0,25,sbMIL-quadratic,MACCS,Nc1ccc2c3c(cccc13)-c1ccccc1-2
2.107064783677631,1,1,1,0,26,sbMIL-quadratic,MACCS,Nc1cc(N)c(-c2ccccc2)c([N+](=O)[O-])c1
-0.8758605571078097,0,1,1,0,27,sbMIL-quadratic,MACCS,Nc1ccc(N)c2ccccc12
-0.05727514810083412,0,1,1,0,28,sbMIL-quadratic,MACCS,Nc1ccc(Cl)cc1N
-1.2673792008166442,0,1,1,0,29,sbMIL-quadratic,MACCS,Nc1cccc2cccc(S(=O)(=O)O)c12
1.043598478146487,1,1,1,0,30,sbMIL-quadratic,MACCS,Nc1ccc(O)c([N+](=O)[O-])c1
0.2549352131059053,1,1,1,0,31,sbMIL-quadratic,MACCS,Nn1nnc2c3ccccc3nc-2c1O
1.4703172298438445,1,1,1,0,32,sbMIL-quadratic,MACCS,Nc1nc(-c2ccc([N+](=O)[O-])s2)cs1
2.404025470938684,1,1,1,0,33,sbMIL-quadratic,MACCS,Nc1ccc(-c2ccc(N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1
0.03382304261944857,1,1,1,0,34,sbMIL-quadratic,MACCS,Nc1c(C(=O)O)cc([N+](=O)[O-])c2c1C(=O)c1ccccc1C2=O
-0.27452468976611966,0,1,1,0,35,sbMIL-quadratic,MACCS,Nc1ccc(/C=C/c2ccc(N)cc2)cc1
0.88916413315713,1,1,1,0,36,sbMIL-quadratic,MACCS,Nc1ccc(Sc2ccc([N+](=O)[O-])cc2)cc1
1.8633939041032446,1,0,2,0,0,sbMIL-quadratic,MACCS,Nc1c(N=Nc2ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc2)c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])c(N=Nc3ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc3)c(O)c12
-1.2103812434384296,0,0,2,0,1,sbMIL-quadratic,MACCS,Nc1cc(S(=O)(=O)O)ccc1Cl
0.6183168572772576,1,0,2,0,2,sbMIL-quadratic,MACCS,Nc1cccc(O)c1[N+](=O)[O-]
-0.979843927332448,0,0,2,0,3,sbMIL-quadratic,MACCS,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
-0.13585232350260756,0,0,2,0,4,sbMIL-quadratic,MACCS,Nc1nc2ccccc2s1
-0.4858311774253932,0,0,2,0,5,sbMIL-quadratic,MACCS,Nc1c(Cl)cc(Cl)cc1Cl
0.20690645011719633,1,0,2,0,6,sbMIL-quadratic,MACCS,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
-0.5434706533633606,0,0,2,0,7,sbMIL-quadratic,MACCS,Nc1c(O)cccc1C(=O)O
-0.8688952722924211,0,0,2,0,8,sbMIL-quadratic,MACCS,Nc1ccccc1C(F)(F)F
-0.8269469185132731,0,0,2,0,9,sbMIL-quadratic,MACCS,Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1
-0.203369717150924,0,0,2,0,10,sbMIL-quadratic,MACCS,Nc1ccccn1
-0.8276217139082556,0,0,2,0,11,sbMIL-quadratic,MACCS,Nc1ccc(Cc2cc(O)c(N)c(Cl)c2)cc1Cl
-0.919271299978338,0,1,2,0,12,sbMIL-quadratic,MACCS,Nc1ccc2c(ccc3c4ccccc4ccc23)c1
-1.3500384635709428,0,1,2,0,13,sbMIL-quadratic,MACCS,Nc1ccc2ccccc2c1S(=O)(=O)O
0.30606439009694164,1,1,2,0,14,sbMIL-quadratic,MACCS,Nc1cccc2cnsc12
-0.3046093723374761,0,1,2,0,15,sbMIL-quadratic,MACCS,Nc1cc(Cl)c(N)c(Cl)c1
-1.007113662308049,0,1,2,0,16,sbMIL-quadratic,MACCS,Nc1ccc(Cc2ccc(NO)c(Cl)c2)cc1Cl
1.459517639703046,1,1,2,0,17,sbMIL-quadratic,MACCS,Nc1ccc2c(c1)CN1C(=O)c3ccccc3C1=N2
2.424790741250906,1,1,2,0,18,sbMIL-quadratic,MACCS,Nc1ccc2ccccc2c1N=Nc1ccc([N+](=O)[O-])cc1
-0.7805954762097863,0,1,2,0,19,sbMIL-quadratic,MACCS,Nc1cccc2c1-c1ccccc1C2
-0.8658649953706329,0,1,2,0,20,sbMIL-quadratic,MACCS,Nc1ccc(Oc2ccccc2)cc1
1.3748697788824447,1,1,2,0,21,sbMIL-quadratic,MACCS,Nc1c2[nH]cnc2nc[n+]1[O-]
3.072221285430909,1,1,2,0,22,sbMIL-quadratic,MACCS,Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2C1OC(CO)C(O)C1O
2.86778035545428,1,1,2,0,23,sbMIL-quadratic,MACCS,Nc1snc2ccc([N+](=O)[O-])cc12
0.9192294081253455,1,1,2,0,24,sbMIL-quadratic,MACCS,Nc1ccc(CO)c([N+](=O)[O-])c1
-1.3452105775011258,0,1,2,0,25,sbMIL-quadratic,MACCS,Nc1ccc(O)c2c1C(=O)c1c(O)ccc(N)c1C2=O
-0.8103841992704436,0,1,2,0,26,sbMIL-quadratic,MACCS,Nc1ccc2c(c1)-c1cccc3cccc-2c13
-0.6646997758031601,0,1,2,0,27,sbMIL-quadratic,MACCS,Nc1cccc2c(N)cccc12
-0.8103841992704436,0,1,2,0,28,sbMIL-quadratic,MACCS,Nc1ccc2cccc3c2c1-c1ccccc1-3
-0.32735417058646366,0,1,2,0,29,sbMIL-quadratic,MACCS,Nc1cccc2nc3ccccc3c(N)c12
-0.16787903032133678,0,1,2,0,30,sbMIL-quadratic,MACCS,Nc1ccc(-c2ccc(N)cc2)cc1
1.1896864915732497,1,1,2,0,31,sbMIL-quadratic,MACCS,Nc1snc2cc(Cl)ccc12
-0.8103841992704436,0,1,2,0,32,sbMIL-quadratic,MACCS,Nc1cccc2c1-c1cccc3cccc-2c13
-0.25762307588762645,0,1,2,0,33,sbMIL-quadratic,MACCS,Nc1ccc(/C=C/c2cccc(N)c2)cc1
2.3150151693226966,1,1,2,0,34,sbMIL-quadratic,MACCS,Nc1ccc2c(no[n+]2[O-])n1
2.0429871960050123,1,1,2,0,35,sbMIL-quadratic,MACCS,Nc1ccc(-c2ccc(N)c([N+](=O)[O-])c2)cc1
-0.05313982472672485,0,1,2,0,36,sbMIL-quadratic,MACCS,Nc1ccc(O)c(N)c1
